StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent,RESIDENT,ZIPCODE_RESIDENT,ZIPCODE_UNSURE,PROPERTY,OWNERSHIP,OWNERSHIP_OTHER_TEXT,YEARS_RESIDENT,YEARS_UNSURE,PRIORITY_ACSNAT,PRIORITY_ACSEDU,PRIORITY_ACSHLT,PRIORITY_JOBINC,PRIORITY_WAGINC,PRIORITY_TRASH,PRIORITY_CSTLIV,PRIORITY_PEDCYC,PRIORITY_HOUSNG,PRIORITY_JOBDIV,PRIORITY_AIRQTY,PRIORITY_WTRQTY,PRIORITY_RODBRG,PRIORITY_UTILTY,PRIORITY_FLDPRT,PRIORITY_PUBTRN,JUSTICE_DIST.R,JUSTICE_PRO.R,JUSTICE_REC.R,JUSTICE_AGN.R,ATTITUDE_BAYLNK.R,ATTITUDE_BAYIMP,ATTITUDE_BIODIV,ATTITUDE_OPPSAT,ATTNCHECK1,NR_IMPPRT,NR_CONNCT,NR_SPIRIT,NR_NOTICE,NR_VACSPT,NR_AFFECT,ACTIVITY_CMPHIK,ACTIVITY_PADBOT,ACTIVITY_SWIMDV,ACTIVITY_BWATCH,ACTIVITY_GARDEN,ACTIVITY_FISHNG,ACTIVITY_EXRCSO,ACTIVITY_RELAXO,ACTIVITY_PICNIC,ACTIVITY_PLYGND,ACTIVITY_ZOOAQU,ACTIVITY_LSNPRK,ACTIVITY_HSTSIT,ACTIVITY_BEACH,ACTIVITY_PIER,BEHAVIOR_FERTLZ,BEHAVIOR_WATER,BEHAVIOR_CLPPNG,BEHAVIOR_GRNINF,BEHAVIOR_NODRIV,BEHAVIOR_RECYCL,BEHAVIOR_PLNTFF,BEHAVIOR_RESTOR,NORM_FERTLZ,NORM_WATER,NORM_CLPPNG,NORM_GRNINF,NORM_NODRIV,NORM_RECYCL,NORM_PLNTFF,NORM_RESTOR,FERTLZ_SEASON,FISH_LOCATN,FISH_REASON,GROUP_ARTCLT,GROUP_ENVPRT,GROUP_HOANBH,GROUP_POLTCL,GROUP_SPIRIT,GROUP_CHLPAR,GROUP_SPORTS,PIDENTITY_IDENTY,SOLASTALGIA_BELONG,SOLASTALGIA_LOSSES,HOPEPATH_WAYFIX,SOLASTALGIA_ASHAMD,SOLASTALGIA_DISAPR,HOPEPATH_KNOWLG,PIDENTITY_SPCIAL,SOLASTALGIA_UQLOSS,SOLASTALGIA_PEACEQ,ATTNCHECK2,HOPEPATH_CANFIX.R,SOLASTALGIA_DEGRAD,PIDENTITY_ATTCHD,HOPEPATH_RESOLV,SOLASTALGIA_LFSTYL,SOLASTALGIA_FLEAVE,HOPEPATH_ENOUGH.R,ATTITUDE_SAFOUT,ATTITUDE_OUTWEL.R,ATTITUDE_SWMSAF.R,ATTITUDE_CHNGFW,ATTITUDE_CHNGRN,ATTITUDE_CHNGTP,ATTITUDE_CHNGHS,ATTITUDE_CCTHRT,MHI_A1.R,MHI_D1,MHI_D2.R,MHI_A2,MHI_D3.R,LIFESATISFACTION,ECOANXIETY_1,ECOANXIETY_2,ECOANXIETY_3,ECOANXIETY_4,ECOANXIETY_5,ECOANXIETY_6,ECOANXIETY_7,KNOWLEDGE_WQTRND,KNOWLEDGE_WQTRND_C,KNOWLEDGE_NUTRNT,KNOWLEDGE_NUTRNT_C,KNOWLEDGE_SOURCE,KNOWLEDGE_SOURCE_C,KNOWLEDGE_FRTSSN,KNOWLEDGE_FRTSSN_C,KNOWLEDGE_SGLOSS,KNOWLEDGE_SGLOSS_C,INFOSOURCES,AGE,GENDER,GENDER_OTHER_TEXT,ETHNICITY,ETHNICITY_OTHER_TEXT,EDUCATION,EMPLOYMENT,HHINCOME,POLITICS,REFERRAL,SCORE_RAW
14/8/2024 11:51,14/8/2024 12:09,IP Address,100,1082,TRUE,14/8/2024 12:09,R_79oGBNvURQsj6v0,anonymous,EN,1,,0,0,,I agree,Yes,33596,,Single-family home,Own,,20 years or more,,High priority,Top priority,High priority,Moderate priority,Moderate priority,High priority,Moderate priority,High priority,Low priority,Low priority,High priority,High priority,Moderate priority,High priority,Moderate priority,Moderate priority,Very true,Moderately true,Moderately true,Moderately true,Very true,Completely true,Completely true,Very true,A little true,Completely true,Completely true,Very true,Very true,Very true,Very true,Multiple times per week,About once a week,A few times,Multiple times per week,Multiple times per week,About once a week,Multiple times per week,Multiple times per week,Multiple times per week,Never,A few times,Multiple times per week,A few times,A few times,About once a week,A few times,A few times,Never,Never,A few times,About once a week,About once a week,A few times,A little more than I do,About the same as I do,A little more than I do,A little more than I do,A little less than I do,A little less than I do,Much less than I do,A little less than I do,"Spring (March - May),Fall (October - November)","A boat, kayak, or canoe","Fishing for fun or sport,Fishing for relaxation,Fishing for my own food","No, not involved","Yes, a little involved","Yes, a little involved","No, not involved","No, not involved","No, not involved","Yes, a little involved",Very true,Moderately true,Very true,Very true,Moderately true,Moderately true,Very true,Moderately true,Very true,Very true,Very true,Very true,Very true,Moderately true,A little true,Very true,A little true,Very true,Very true,Not true at all,A little true,Very true,Moderately true,Very true,Not true at all,Completely true,A little of the time,Most of the time,A little of the time,A good bit of the time,A little of the time,Most of the time,Not at all,Several days,Several days,Several days,Not at all,Several days,Not at all,Declined,10,Nitrogen,7,Stormwater runoff,7,Summer (June - September),10,Nutrient pollution,10,"Television,Newspapers or magazines,Government websites,Non-governmental organization (NGO) websites,Your own observations or experiences",65 or older,Male,,White or European,,Bachelor's degree,Retired,"$100,000 or more",Neutral,Environmental,3.5
14/8/2024 12:19,14/8/2024 12:36,IP Address,100,1048,TRUE,14/8/2024 12:36,R_162b5CFPiMCjzKp,anonymous,EN,1,,0,0,,I agree,Yes,33713,,Single-family home,Own,,10 - 19 years,,Top priority,High priority,High priority,Low priority,Low priority,High priority,Top priority,Top priority,Moderate priority,Moderate priority,Top priority,Top priority,Moderate priority,Top priority,Top priority,Moderate priority,A little true,Completely true,Completely true,Completely true,Not true at all,Completely true,Completely true,Moderately true,A little true,Completely true,Very true,Moderately true,Completely true,Completely true,Very true,About once a week,About once a week,About once a week,About once a week,A few times,A few times,Multiple times per week,Multiple times per week,Multiple times per week,Never,Never,About once a week,About once a week,About once a month,A few times,A few times,A few times,About once a week,Never,Multiple times per week,Multiple times per week,About once a month,A few times,Much more than I do,Much more than I do,About the same as I do,About the same as I do,A little less than I do,About the same as I do,A little less than I do,A little less than I do,"Spring (March - May),Fall (October - November)","A boat, kayak, or canoe",Fishing for fun or sport,"Yes, a little involved","Yes, a little involved","No, not involved","Yes, very involved","No, not involved","No, not involved","Yes, a little involved",Very true,Moderately true,Completely true,Moderately true,Not true at all,Very true,Not true at all,Completely true,Completely true,Moderately true,Very true,Not true at all,Completely true,Completely true,Moderately true,Very true,Moderately true,Completely true,Moderately true,Not true at all,A little true,Very true,Very true,Completely true,Moderately true,Completely true,A good bit of the time,Some of the time,A good bit of the time,A little of the time,A good bit of the time,Some of the time,More than half the days,Nearly every day,Nearly every day,Nearly every day,Several days,More than half the days,Nearly every day,Declined,10,Nitrogen,8,Stormwater runoff,7,Summer (June - September),8,"Boat propeller blades,Nutrient pollution",6,"Television,Social media,Your own observations or experiences",35 - 44,Male,,White or European,,Master's degree,Full-time,"$50,000 - $74,999",Strongly liberal,Unknown,4
14/8/2024 12:26,14/8/2024 12:43,IP Address,100,993,TRUE,14/8/2024 12:43,R_5lt7J5yyAKjbZRI,anonymous,EN,1,,0,0,,I agree,Yes,33701,,Townhome or duplex,Own,,10 - 19 years,,Top priority,Top priority,High priority,High priority,High priority,Moderate priority,Moderate priority,High priority,High priority,High priority,High priority,High priority,Moderate priority,Moderate priority,Top priority,High priority,Moderately true,Moderately true,Moderately true,Moderately true,A little true,Very true,A little true,Moderately true,A little true,Moderately true,A little true,Not true at all,Moderately true,A little true,Moderately true,Never,About once a month,Never,Never,Never,Never,A few times,Never,Never,Never,Never,A few times,A few times,A few times,A few times,Never,Never,Never,Never,Multiple times per week,Multiple times per week,Never,Never,A little more than I do,A little more than I do,A little more than I do,About the same as I do,Much less than I do,A little less than I do,About the same as I do,About the same as I do,,,,"Yes, very involved","Yes, a little involved","Yes, very involved","No, not involved","No, not involved","No, not involved","Yes, a little involved",Moderately true,Moderately true,Moderately true,Moderately true,A little true,Moderately true,A little true,Moderately true,Moderately true,A little true,Very true,Moderately true,Moderately true,Moderately true,Moderately true,A little true,A little true,A little true,Completely true,Not true at all,A little true,Not true at all,A little true,Completely true,A little true,Completely true,None of the time,A good bit of the time,None of the time,Most of the time,None of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Declined,7,Phosphorus,4,Stormwater runoff,7,Summer (June - September),9,Increased ocean temperature,7,"Radio,Newspapers or magazines,Public meetings,Your own observations or experiences",55 - 64,Male,,White or European,,Bachelor's degree,Full-time,"$100,000 or more",Moderately liberal,Unknown,2
14/8/2024 12:51,14/8/2024 12:59,IP Address,100,486,TRUE,14/8/2024 12:59,R_6sasPWxXtAjliI4,anonymous,EN,1,,0,0,,I agree,Yes,33704,,Single-family home,Own,,20 years or more,,Moderate priority,High priority,Moderate priority,Top priority,Top priority,High priority,Top priority,Moderate priority,Top priority,Top priority,High priority,Top priority,Moderate priority,High priority,Top priority,Moderate priority,A little true,A little true,Not true at all,A little true,Not true at all,Completely true,Completely true,Moderately true,A little true,Completely true,Completely true,Completely true,Completely true,Very true,Completely true,About once a week,About once a week,About once a week,About once a week,Multiple times per week,A few times,Multiple times per week,About once a week,About once a month,A few times,A few times,About once a month,About once a month,About once a week,A few times,Never,About once a month,Never,About once a month,About once a week,Multiple times per week,Multiple times per week,Multiple times per week,Much more than I do,Much more than I do,Much more than I do,A little less than I do,About the same as I do,About the same as I do,A little less than I do,Much less than I do,,The shoreline or bank of a water body,Fishing for fun or sport,"Yes, very involved","Yes, very involved","Yes, a little involved","Yes, a little involved","No, not involved","No, not involved","Yes, very involved",Completely true,Very true,Completely true,Very true,Very true,Completely true,Very true,Completely true,Completely true,Completely true,Very true,Moderately true,Very true,Completely true,Very true,Completely true,Completely true,Moderately true,Very true,Not true at all,Moderately true,Moderately true,Very true,Completely true,Very true,Completely true,A little of the time,Most of the time,A little of the time,Most of the time,None of the time,Most of the time,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Declined,8,Nitrogen,8,Stormwater runoff,8,Summer (June - September),7,"Boat propeller blades,Increased ocean temperature,Nutrient pollution",8,"Social media,Mail or email newsletters,Public meetings,Non-governmental organization (NGO) websites,Your own observations or experiences",45 - 54,Female,,White or European,,Master's degree,Full-time,"$100,000 or more",Moderately liberal,TBEP,4
14/8/2024 12:49,14/8/2024 13:03,IP Address,100,833,TRUE,14/8/2024 13:03,R_1GyxeFF0L324OZo,anonymous,EN,1,,0,0,,I agree,Yes,33706,,Single-family home,Own,,20 years or more,,Top priority,Moderate priority,High priority,Not a priority,Not a priority,High priority,Moderate priority,High priority,Low priority,Not a priority,High priority,High priority,High priority,Top priority,Top priority,Moderate priority,Very true,Very true,Moderately true,Moderately true,Not true at all,Completely true,Very true,Very true,A little true,Moderately true,Very true,A little true,Very true,A little true,A little true,About once a week,About once a week,About once a month,About once a month,About once a week,Never,Multiple times per week,Multiple times per week,Multiple times per week,About once a month,About once a month,About once a week,About once a month,About once a month,About once a month,Never,About once a week,Never,Never,About once a week,About once a week,A few times,A few times,Much more than I do,Much more than I do,Much more than I do,A little more than I do,A little less than I do,About the same as I do,A little more than I do,A little more than I do,,,,"Yes, a little involved","Yes, a little involved","Yes, a little involved","No, not involved","Yes, a little involved","Yes, very involved","Yes, a little involved",Very true,A little true,Very true,Moderately true,Not true at all,A little true,Moderately true,Very true,Moderately true,A little true,Very true,A little true,A little true,Very true,Moderately true,Not true at all,Moderately true,A little true,Very true,Not true at all,A little true,Not true at all,A little true,Moderately true,Not true at all,A little true,None of the time,Most of the time,None of the time,Most of the time,None of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Remained about the same,6,Nitrogen,8,Stormwater runoff,8,Summer (June - September),8,"Boat propeller blades,Increased ocean temperature,Microplastics,Nutrient pollution",8,"Television,Newspapers or magazines,Public meetings,Your own observations or experiences",65 or older,Female,,White or European,,Bachelor's degree,Retired,"$100,000 or more",Slightly liberal,Unknown,4
14/8/2024 12:46,14/8/2024 13:07,IP Address,100,1250,TRUE,14/8/2024 13:07,R_6ezEkUWtpJ0f7dA,anonymous,EN,1,,0,0,,I agree,Yes,33706,,Single-family home,Own,,20 years or more,,High priority,High priority,High priority,High priority,Top priority,High priority,Top priority,High priority,Top priority,High priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,Top priority,Moderately true,Moderately true,A little true,A little true,Not true at all,Completely true,Very true,Very true,A little true,Moderately true,Moderately true,Moderately true,Very true,A little true,Moderately true,Never,A few times,Never,A few times,About once a month,Never,About once a week,Multiple times per week,About once a month,Never,Never,A few times,Never,About once a month,A few times,Never,About once a week,Never,Never,A few times,Multiple times per week,About once a week,Never,Much more than I do,Much more than I do,Much more than I do,About the same as I do,About the same as I do,About the same as I do,A little less than I do,About the same as I do,,,,"Yes, a little involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Very true,A little true,A little true,A little true,Not true at all,A little true,A little true,Completely true,Moderately true,A little true,Very true,A little true,Moderately true,Completely true,Very true,A little true,Very true,A little true,Not true at all,Not true at all,Not true at all,Not true at all,A little true,Very true,Not true at all,Very true,A little of the time,A good bit of the time,A little of the time,A little of the time,None of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Declined,6,Carbon,1,Stormwater runoff,2,Spring (March - May),2,"Boat propeller blades,Increased ocean temperature,Microplastics,Nutrient pollution",10,"Social media,Newspapers or magazines,Word of mouth (friends, family, coworkers)",55 - 64,Female,,White or European,,Master's degree,Retired,"$100,000 or more",Moderately liberal,Connection,2
14/8/2024 13:08,14/8/2024 13:17,IP Address,100,549,TRUE,14/8/2024 13:17,R_73TLk6rSIWHLWQp,anonymous,EN,1,,0,0,,I agree,Yes,33620,,Apartment,Rent,,1 - 4 years,,Top priority,High priority,Moderate priority,Moderate priority,Low priority,Top priority,High priority,High priority,Moderate priority,Low priority,High priority,High priority,Moderate priority,Moderate priority,High priority,Top priority,A little true,Completely true,Moderately true,A little true,Not true at all,Completely true,Completely true,A little true,A little true,Completely true,Very true,Very true,Completely true,Completely true,Completely true,A few times,About once a month,About once a month,A few times,Never,Never,Multiple times per week,Multiple times per week,About once a week,Never,Never,A few times,Never,About once a week,About once a month,,,,,About once a week,Multiple times per week,Never,A few times,,,,,Much less than I do,Much less than I do,About the same as I do,About the same as I do,,,,"No, not involved","Yes, very involved","No, not involved","No, not involved","No, not involved","Yes, a little involved","Yes, very involved",Moderately true,Not true at all,Completely true,Completely true,Very true,Very true,Moderately true,A little true,Very true,Very true,Very true,Not true at all,Very true,Not true at all,Moderately true,Very true,A little true,Moderately true,A little true,A little true,Very true,Moderately true,A little true,Very true,Not true at all,Very true,A good bit of the time,A good bit of the time,Some of the time,Some of the time,None of the time,A good bit of the time,More than half the days,Several days,Several days,Several days,Not at all,Several days,Not at all,Declined,9,Phosphorus,2,Wastewater,4,Summer (June - September),7,"Boat propeller blades,Increased ocean temperature,Microplastics,Nutrient pollution",8,"Social media,Newspapers or magazines,Mail or email newsletters,Public meetings,Non-governmental organization (NGO) websites,Word of mouth (friends, family, coworkers),Your own observations or experiences",18 - 24,Female,,White or European,,Associate degree,"Part-time,Student","Less than $25,000",Slightly liberal,TBEP,2
14/8/2024 13:06,14/8/2024 13:21,IP Address,100,883,TRUE,14/8/2024 13:21,R_3Y4Xrc3YokW3FzG,anonymous,EN,1,,0,0,,I agree,Yes,33713,,Single-family home,Own,,10 - 19 years,,High priority,Top priority,High priority,High priority,High priority,High priority,Top priority,Top priority,High priority,High priority,High priority,High priority,High priority,Top priority,Top priority,Moderate priority,Not true at all,Not true at all,Not true at all,A little true,A little true,Completely true,Completely true,Very true,A little true,Completely true,Completely true,Very true,Completely true,Completely true,Completely true,A few times,A few times,A few times,A few times,About once a month,Never,Multiple times per week,About once a month,A few times,About once a month,Never,About once a month,A few times,A few times,About once a month,Never,About once a month,Never,Never,A few times,Multiple times per week,A few times,A few times,Much more than I do,Much more than I do,Much more than I do,A little more than I do,About the same as I do,A little less than I do,About the same as I do,A little less than I do,,,,"No, not involved","Yes, very involved","No, not involved","No, not involved","No, not involved","Yes, a little involved","No, not involved",Very true,Not true at all,A little true,A little true,Not true at all,A little true,Completely true,Very true,A little true,Not true at all,Very true,Not true at all,Completely true,Very true,Completely true,Moderately true,Moderately true,A little true,Very true,Not true at all,Not true at all,Not true at all,Not true at all,Very true,Not true at all,Completely true,A little of the time,Most of the time,A little of the time,A good bit of the time,None of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Declined,10,Nitrogen,10,Stormwater runoff,7,Summer (June - September),10,Nutrient pollution,10,"Radio,Newspapers or magazines,Mail or email newsletters,Government websites,Non-governmental organization (NGO) websites,Word of mouth (friends, family, coworkers),Your own observations or experiences",45 - 54,Female,,White or European,,Master's degree,Full-time,"$100,000 or more",Strongly liberal,TBEP,3.5
14/8/2024 13:18,14/8/2024 13:45,IP Address,100,1629,TRUE,14/8/2024 13:45,R_3qLcX5ttJMyr2Lv,anonymous,EN,1,,0,0,,I agree,Yes,33713,,Single-family home,Own,,20 years or more,,Moderate priority,Not a priority,Top priority,Not a priority,Not a priority,High priority,Top priority,Moderate priority,Moderate priority,Not a priority,High priority,Top priority,High priority,Top priority,Moderate priority,Moderate priority,Moderately true,Very true,Very true,Completely true,Not true at all,Completely true,Very true,Very true,A little true,Completely true,Very true,Moderately true,Completely true,Very true,Completely true,Never,About once a month,A few times,A few times,Never,Never,Multiple times per week,A few times,A few times,Never,Never,About once a month,Never,About once a week,A few times,Never,A few times,Never,Never,Never,A few times,Never,Never,Much more than I do,Much more than I do,Much more than I do,Much less than I do,About the same as I do,Much more than I do,Much less than I do,A little less than I do,,,,"No, not involved","Yes, very involved","No, not involved","No, not involved","No, not involved","No, not involved","Yes, very involved",Completely true,Completely true,Completely true,A little true,A little true,Very true,Moderately true,Completely true,Very true,Very true,Very true,Very true,Completely true,Completely true,A little true,Moderately true,Completely true,Completely true,Moderately true,Not true at all,Very true,Moderately true,Very true,Completely true,Not true at all,Completely true,None of the time,Most of the time,A little of the time,A good bit of the time,None of the time,Most of the time,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Declined,7,Phosphorus,2,Stormwater runoff,8,Summer (June - September),5,"Boat propeller blades,Nutrient pollution",8,"Mail or email newsletters,Non-governmental organization (NGO) websites,Your own observations or experiences",65 or older,Male,,White or European,,Bachelor's degree,Retired,"$25,000 - $49,999",Strongly conservative,TBEP,3
14/8/2024 13:38,14/8/2024 13:51,IP Address,100,730,TRUE,14/8/2024 13:51,R_77QhVsadryH8zzB,anonymous,EN,1,,0,0,,I agree,Yes,33647,,Single-family home,Own,,20 years or more,,Top priority,Top priority,High priority,Moderate priority,Moderate priority,Low priority,High priority,Moderate priority,Not a priority,Low priority,Low priority,Moderate priority,Top priority,High priority,Moderate priority,Low priority,Not true at all,A little true,A little true,Not true at all,Moderately true,Completely true,Completely true,Moderately true,A little true,Completely true,Moderately true,Very true,Completely true,Very true,Very true,About once a month,About once a month,Never,Multiple times per week,About once a month,About once a month,Multiple times per week,About once a week,About once a month,A few times,A few times,A few times,A few times,A few times,A few times,About once a month,About once a week,Never,Never,Never,Multiple times per week,A few times,A few times,About the same as I do,A little more than I do,Much more than I do,About the same as I do,A little more than I do,A little less than I do,About the same as I do,A little less than I do,"Spring (March - May),Summer (June - September),Fall (October - November)","The shoreline or bank of a water body,A fishing pier or boardwalk,A boat, kayak, or canoe","Fishing for fun or sport,Fishing for relaxation","No, not involved","Yes, a little involved","No, not involved","No, not involved","Yes, a little involved","Yes, a little involved","No, not involved",Completely true,A little true,A little true,Moderately true,A little true,A little true,Moderately true,Very true,A little true,Very true,Very true,Not true at all,Moderately true,Very true,Completely true,Moderately true,Moderately true,Not true at all,Very true,Not true at all,Completely true,A little true,A little true,A little true,Not true at all,A little true,None of the time,All of the time,None of the time,Most of the time,None of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Remained about the same,6,Nitrogen,10,Stormwater runoff,10,Summer (June - September),10,"Boat propeller blades,Nutrient pollution",5,"Public meetings,Government websites,Your own observations or experiences",45 - 54,Male,,White or European,,Bachelor's degree,Full-time,"$100,000 or more",Slightly conservative,TBEP,4
14/8/2024 14:08,14/8/2024 14:24,IP Address,100,946,TRUE,14/8/2024 14:24,R_7cbx4F2RnrhvM0s,anonymous,EN,1,,0,0,,I agree,Yes,33715,,Condominium,Own,,20 years or more,,Top priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,High priority,High priority,Moderate priority,High priority,High priority,Moderate priority,Top priority,High priority,High priority,High priority,Moderate priority,Moderately true,Very true,Moderately true,Moderately true,Not true at all,Very true,Very true,Very true,A little true,Completely true,Very true,Very true,Completely true,Very true,Very true,A few times,About once a week,A few times,Multiple times per week,A few times,A few times,About once a month,A few times,About once a month,Never,About once a month,About once a month,About once a month,About once a week,About once a month,Never,A few times,Never,A few times,About once a month,About once a month,A few times,About once a week,Much more than I do,A little more than I do,About the same as I do,A little less than I do,About the same as I do,About the same as I do,A little less than I do,A little less than I do,,"A boat, kayak, or canoe","Fishing for fun or sport,Socializing with other anglers","Yes, a little involved","Yes, very involved","Yes, very involved","Yes, a little involved","No, not involved","Yes, very involved","Yes, very involved",Completely true,Very true,Completely true,Very true,Very true,Very true,Very true,Completely true,Very true,Very true,Very true,Very true,Completely true,Completely true,Very true,Very true,Very true,Very true,Very true,Not true at all,A little true,A little true,Moderately true,Very true,A little true,Completely true,A good bit of the time,A good bit of the time,Some of the time,Some of the time,A little of the time,Most of the time,More than half the days,Several days,Several days,Several days,Not at all,Several days,Not at all,Declined,10,Nitrogen,10,Stormwater runoff,9,Summer (June - September),10,Nutrient pollution,10,"Newspapers or magazines,Public meetings,Non-governmental organization (NGO) websites,Your own observations or experiences",55 - 64,Male,,White or European,,Bachelor's degree,Full-time,"$100,000 or more",Moderately liberal,TBEP,3.5
14/8/2024 13:47,14/8/2024 14:26,IP Address,100,2388,TRUE,14/8/2024 14:26,R_7l2zlluiEYcX6W5,anonymous,EN,1,,0,20,,I agree,Yes,33584,,Single-family home,Own,,20 years or more,,Moderate priority,Moderate priority,Moderate priority,Not a priority,Not a priority,Low priority,Low priority,High priority,Not a priority,Not a priority,High priority,High priority,High priority,Moderate priority,Low priority,Low priority,Not true at all,A little true,A little true,Moderately true,Moderately true,Completely true,Completely true,A little true,A little true,Completely true,Completely true,Completely true,Completely true,Completely true,Very true,A few times,A few times,A few times,Multiple times per week,Multiple times per week,Never,About once a week,A few times,A few times,Never,Never,About once a week,A few times,A few times,Never,Never,Never,Never,Multiple times per week,A few times,Multiple times per week,About once a month,Multiple times per week,Much more than I do,Much more than I do,A little more than I do,A little more than I do,A little less than I do,A little less than I do,Much less than I do,Much less than I do,,,,"Yes, very involved","Yes, very involved","No, not involved","No, not involved","Yes, very involved","No, not involved","No, not involved",Moderately true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,Very true,Very true,Very true,Very true,A little true,Completely true,Moderately true,Very true,Completely true,Not true at all,Moderately true,Completely true,Very true,Not true at all,Moderately true,Completely true,Moderately true,Not true at all,Very true,Some of the time,Some of the time,Some of the time,A little of the time,A little of the time,A good bit of the time,Several days,Not at all,Not at all,Several days,Not at all,Several days,Several days,Remained about the same,8,Nitrogen,10,Stormwater runoff,10,Summer (June - September),9,"Boat propeller blades,Increased ocean temperature,Nutrient pollution",10,"Mail or email newsletters,Your own observations or experiences",45 - 54,Male,,Multiple,multiple,Bachelor's degree,Full-time,"$100,000 or more",Neutral,TBEP,4
14/8/2024 14:20,14/8/2024 14:27,IP Address,100,433,TRUE,14/8/2024 14:27,R_3w1wMEfGE8r4YWn,anonymous,EN,1,,0,0,,I agree,Yes,33708,,Condominium,Own,,20 years or more,,Top priority,High priority,High priority,Moderate priority,Moderate priority,Moderate priority,Top priority,Top priority,Low priority,Moderate priority,Moderate priority,High priority,Moderate priority,Moderate priority,Moderate priority,Top priority,Very true,Very true,Very true,Completely true,Not true at all,Completely true,Completely true,A little true,A little true,Completely true,Completely true,Completely true,Completely true,Completely true,Very true,A few times,A few times,Never,Multiple times per week,About once a week,Never,About once a week,About once a week,About once a month,About once a week,About once a month,About once a month,About once a month,Multiple times per week,About once a week,Never,Never,Never,Never,A few times,Never,Never,Never,Much more than I do,Much more than I do,Much more than I do,A little less than I do,A little less than I do,Much more than I do,Much more than I do,Much more than I do,,,,"Yes, a little involved","Yes, a little involved","Yes, a little involved","No, not involved","Yes, very involved","Yes, very involved","Yes, very involved",Completely true,Moderately true,Completely true,Completely true,Very true,Completely true,Not true at all,Completely true,Completely true,Completely true,Very true,Not true at all,Completely true,Completely true,Moderately true,Very true,Completely true,Moderately true,Moderately true,A little true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,Most of the time,Some of the time,Some of the time,Some of the time,A little of the time,Some of the time,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Declined,3,Nitrogen,0,Stormwater runoff,0,Summer (June - September),3,"Boat propeller blades,Increased ocean temperature,Nutrient pollution",2,"Newspapers or magazines,Mail or email newsletters,Non-governmental organization (NGO) websites,Word of mouth (friends, family, coworkers),Your own observations or experiences",35 - 44,Female,,White or European,,Doctoral degree,Full-time,"$100,000 or more",Strongly liberal,TBEP,4
14/8/2024 13:17,14/8/2024 14:27,IP Address,100,4221,TRUE,14/8/2024 14:27,R_3sunqKwt6qiPmlL,anonymous,EN,1,,0,0,,I agree,Yes,33549,,Single-family home,Own,,20 years or more,,Top priority,Top priority,Top priority,High priority,High priority,High priority,Moderate priority,High priority,High priority,Moderate priority,Top priority,Top priority,Moderate priority,High priority,High priority,High priority,Moderately true,Not true at all,A little true,A little true,Moderately true,Completely true,Completely true,Moderately true,A little true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,Multiple times per week,A few times,A few times,Multiple times per week,Multiple times per week,Never,Multiple times per week,About once a week,A few times,A few times,A few times,Multiple times per week,Multiple times per week,About once a month,Never,Never,A few times,Never,About once a month,A few times,Multiple times per week,Multiple times per week,Multiple times per week,Much more than I do,Much more than I do,Much more than I do,Much less than I do,Much less than I do,About the same as I do,A little less than I do,A little less than I do,,,,"Yes, very involved","Yes, very involved","Yes, very involved","Yes, very involved","No, not involved","Yes, a little involved","Yes, very involved",Completely true,A little true,Completely true,Completely true,Very true,Completely true,Very true,Completely true,Completely true,Completely true,Very true,Moderately true,Completely true,Completely true,Completely true,Completely true,Completely true,A little true,Moderately true,Not true at all,Moderately true,Completely true,Completely true,Completely true,Completely true,Completely true,None of the time,Most of the time,A little of the time,All of the time,None of the time,All of the time,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Declined,8,Phosphorus,7,Stormwater runoff,9,Summer (June - September),10,"Increased ocean temperature,Nutrient pollution",8,"Social media,Public meetings,Non-governmental organization (NGO) websites,Your own observations or experiences",65 or older,Female,,White or European,,Master's degree,Retired,"$75,000 - $99,999",Slightly liberal,TBEP,2.5
