StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent,RESIDENT,ZIPCODE_RESIDENT,ZIPCODE_UNSURE,PROPERTY,OWNERSHIP,OWNERSHIP_OTHER_TEXT,YEARS_RESIDENT,YEARS_UNSURE,PRIORITY_ACSNAT,PRIORITY_ACSEDU,PRIORITY_ACSHLT,PRIORITY_JOBINC,PRIORITY_WAGINC,PRIORITY_TRASH,PRIORITY_CSTLIV,PRIORITY_PEDCYC,PRIORITY_HOUSNG,PRIORITY_JOBDIV,PRIORITY_AIRQTY,PRIORITY_WTRQTY,PRIORITY_RODBRG,PRIORITY_UTILTY,PRIORITY_FLDPRT,PRIORITY_PUBTRN,JUSTICE_DIST.R,JUSTICE_PRO.R,JUSTICE_REC.R,JUSTICE_AGN.R,ATTITUDE_BAYLNK.R,ATTITUDE_BAYIMP,ATTITUDE_BIODIV,ATTITUDE_OPPSAT,ATTNCHECK1,NR_IMPPRT,NR_CONNCT,NR_SPIRIT,NR_NOTICE,NR_VACSPT,NR_AFFECT,ACTIVITY_CMPHIK,ACTIVITY_PADBOT,ACTIVITY_SWIMDV,ACTIVITY_BWATCH,ACTIVITY_GARDEN,ACTIVITY_FISHNG,ACTIVITY_EXRCSO,ACTIVITY_RELAXO,ACTIVITY_PICNIC,ACTIVITY_PLYGND,ACTIVITY_ZOOAQU,ACTIVITY_LSNPRK,ACTIVITY_HSTSIT,ACTIVITY_BEACH,ACTIVITY_PIER,BEHAVIOR_FERTLZ,BEHAVIOR_WATER,BEHAVIOR_CLPPNG,BEHAVIOR_GRNINF,BEHAVIOR_NODRIV,BEHAVIOR_RECYCL,BEHAVIOR_PLNTFF,BEHAVIOR_RESTOR,NORM_FERTLZ,NORM_WATER,NORM_CLPPNG,NORM_GRNINF,NORM_NODRIV,NORM_RECYCL,NORM_PLNTFF,NORM_RESTOR,FERTLZ_SEASON,FISH_LOCATN,FISH_REASON,GROUP_ARTCLT,GROUP_ENVPRT,GROUP_HOANBH,GROUP_POLTCL,GROUP_SPIRIT,GROUP_CHLPAR,GROUP_SPORTS,PIDENTITY_IDENTY,SOLASTALGIA_BELONG,SOLASTALGIA_LOSSES,HOPEPATH_WAYFIX,SOLASTALGIA_ASHAMD,SOLASTALGIA_DISAPR,HOPEPATH_KNOWLG,PIDENTITY_SPCIAL,SOLASTALGIA_UQLOSS,SOLASTALGIA_PEACEQ,ATTNCHECK2,HOPEPATH_CANFIX.R,SOLASTALGIA_DEGRAD,PIDENTITY_ATTCHD,HOPEPATH_RESOLV,SOLASTALGIA_LFSTYL,SOLASTALGIA_FLEAVE,HOPEPATH_ENOUGH.R,ATTITUDE_SAFOUT,ATTITUDE_OUTWEL.R,ATTITUDE_SWMSAF.R,ATTITUDE_CHNGFW,ATTITUDE_CHNGRN,ATTITUDE_CHNGTP,ATTITUDE_CHNGHS,ATTITUDE_CCTHRT,MHI_A1.R,MHI_D1,MHI_D2.R,MHI_A2,MHI_D3.R,LIFESATISFACTION,ECOANXIETY_1,ECOANXIETY_2,ECOANXIETY_3,ECOANXIETY_4,ECOANXIETY_5,ECOANXIETY_6,ECOANXIETY_7,KNOWLEDGE_WQTRND,KNOWLEDGE_WQTRND_C,KNOWLEDGE_NUTRNT,KNOWLEDGE_NUTRNT_C,KNOWLEDGE_SOURCE,KNOWLEDGE_SOURCE_C,KNOWLEDGE_FRTSSN,KNOWLEDGE_FRTSSN_C,KNOWLEDGE_SGLOSS,KNOWLEDGE_SGLOSS_C,INFOSOURCES,AGE,GENDER,GENDER_OTHER_TEXT,ETHNICITY,ETHNICITY_OTHER_TEXT,EDUCATION,EMPLOYMENT,HHINCOME,POLITICS,SCORE_RAW
9/4/2024 13:24,9/4/2024 13:39,IP Address,100,875,TRUE,9/4/2024 13:39,R_6R9x3a5y7PwNvnf,anonymous,EN,1,,0,0,,I agree,Yes,33558,,Single-family home,Own,,20 years or more,,Moderate priority,High priority,High priority,High priority,High priority,High priority,Moderate priority,Moderate priority,Low priority,Moderate priority,Moderate priority,Moderate priority,High priority,High priority,High priority,Not a priority,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Very true,Very true,Very true,A little true,Moderately true,Moderately true,A little true,Moderately true,A little true,Moderately true,A few times,About once a week,About once a week,A few times,A few times,About once a week,About once a month,About once a month,About once a month,About once a week,About once a week,About once a week,A few times,About once a month,About once a week,A few times,A few times,A few times,Never,Never,Multiple times per week,A few times,Never,A little more than I do,About the same as I do,A little more than I do,Much more than I do,About the same as I do,About the same as I do,About the same as I do,About the same as I do,"Spring (March - May),Fall (October - November)","A boat, kayak, or canoe",Fishing for relaxation,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Very true,Not true at all,Not true at all,A little true,Not true at all,Not true at all,Not true at all,Completely true,Not true at all,Not true at all,Very true,Not true at all,Not true at all,Completely true,Very true,Not true at all,Completely true,Not true at all,Very true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Very true,None of the time,Most of the time,None of the time,Most of the time,None of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Remained about the same,8,Nitrogen,5,Stormwater runoff,7,Spring (March - May),5,"Boat propeller blades,Increased ocean temperature,Nutrient pollution",8,"Government websites,Your own observations or experiences",45 - 54,Male,,White or European,,Master's degree,Full-time,"$100,000 or more",Slightly liberal,3
9/7/2024 14:49,9/7/2024 15:07,IP Address,100,1035,TRUE,9/7/2024 15:07,R_1YxO0tFkn6H4WTz,anonymous,EN,1,,0,0,,I agree,Yes,34205,,Single-family home,Own,,1 - 4 years,,High priority,Top priority,Top priority,Top priority,Top priority,Top priority,Top priority,High priority,Top priority,High priority,High priority,Top priority,High priority,Top priority,Moderate priority,Top priority,Very true,Very true,Moderately true,Very true,Very true,Completely true,Completely true,Very true,A little true,Completely true,Completely true,Completely true,Completely true,Completely true,Very true,A few times,A few times,Never,About once a month,Multiple times per week,Never,About once a week,Multiple times per week,A few times,Never,Never,About once a week,About once a month,A few times,A few times,Never,A few times,Never,Never,A few times,Multiple times per week,Multiple times per week,About once a month,Much more than I do,A little more than I do,A little more than I do,Much more than I do,About the same as I do,Much less than I do,Much less than I do,Much less than I do,,,,"Yes, a little involved","Yes, a little involved","No, not involved","Yes, very involved","No, not involved","No, not involved","Yes, a little involved",Not true at all,A little true,Very true,Completely true,Very true,Completely true,Very true,Completely true,Very true,Very true,Very true,A little true,Completely true,A little true,Very true,Very true,Not true at all,Moderately true,Moderately true,Not true at all,Very true,Moderately true,Moderately true,Very true,A little true,Completely true,None of the time,Some of the time,Some of the time,Some of the time,None of the time,Some of the time,Nearly every day,More than half the days,Several days,Several days,Not at all,Several days,Not at all,Declined,10,Phosphorus,10,Wastewater,9,Summer (June - September),7,"Increased ocean temperature,Nutrient pollution",9,"Social media,Newspapers or magazines,Public meetings,Non-governmental organization (NGO) websites,Word of mouth (friends, family, coworkers),Your own observations or experiences",35 - 44,Female,,White or European,,High school diploma or GED,Full-time,"$50,000 - $74,999",Strongly liberal,1.5
9/11/2024 15:37,9/11/2024 16:02,IP Address,100,1519,TRUE,9/11/2024 16:02,R_1LaLmfx7zNkWiz7,anonymous,EN,1,,0,0,,I agree,Yes,33570,,Single-family home,Own,,5 - 9 years,,Moderate priority,High priority,High priority,High priority,Moderate priority,Top priority,Top priority,Moderate priority,High priority,Low priority,High priority,Top priority,High priority,Top priority,Top priority,Low priority,Completely true,Completely true,Very true,Moderately true,Not true at all,Completely true,Completely true,Very true,A little true,Very true,Completely true,Completely true,Completely true,Very true,Very true,About once a month,About once a week,About once a week,A few times,Multiple times per week,About once a month,About once a week,Multiple times per week,About once a week,Multiple times per week,A few times,About once a week,A few times,About once a week,A few times,Never,A few times,A few times,Multiple times per week,A few times,Multiple times per week,Multiple times per week,A few times,Much more than I do,Much more than I do,Much more than I do,A little less than I do,Much more than I do,About the same as I do,A little less than I do,A little less than I do,,"A boat, kayak, or canoe","Fishing for fun or sport,Fishing for relaxation,Watching friends or family fish","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","Yes, a little involved","Yes, a little involved",Very true,Very true,Completely true,Very true,Very true,Completely true,Very true,Very true,Completely true,Completely true,Very true,Not true at all,Very true,Moderately true,Very true,Completely true,Very true,A little true,Moderately true,A little true,A little true,A little true,A little true,A little true,A little true,Moderately true,Some of the time,A good bit of the time,A little of the time,Most of the time,None of the time,All of the time,Several days,Not at all,Several days,Several days,Several days,Several days,Several days,Declined,6,Nitrogen,8,Stormwater runoff,8,Winter (December - February),6,Nutrient pollution,6,"Social media,Mail or email newsletters,Government websites,Non-governmental organization (NGO) websites,Word of mouth (friends, family, coworkers),Your own observations or experiences",25 - 34,Female,,"Hispanic or Latino/a,White or European",,Bachelor's degree,Full-time,"$25,000 - $49,999",Neutral,2.5
9/15/2024 12:26,9/15/2024 12:50,IP Address,100,1480,TRUE,9/15/2024 12:50,R_7o0hEuGDAXioAa6,anonymous,EN,1,,0,0,,I agree,Yes,33705,,Townhome or duplex,Own,,5 - 9 years,,Moderate priority,Not a priority,Low priority,Moderate priority,Moderate priority,Moderate priority,Top priority,Low priority,Low priority,Moderate priority,Moderate priority,Top priority,High priority,Top priority,Top priority,Moderate priority,A little true,A little true,Not true at all,Moderately true,Very true,Completely true,Very true,Moderately true,A little true,Completely true,Very true,Moderately true,Very true,Moderately true,Very true,Never,About once a month,A few times,About once a week,Never,Never,About once a week,A few times,A few times,Never,Never,A few times,A few times,About once a month,Multiple times per week,A few times,About once a week,Never,Never,Multiple times per week,About once a week,A few times,Never,A little more than I do,A little more than I do,A little more than I do,Much more than I do,A little less than I do,About the same as I do,A little less than I do,A little more than I do,"Spring (March - May),Fall (October - November)",,,"No, not involved","Yes, a little involved","Yes, very involved","No, not involved","Yes, a little involved","No, not involved","No, not involved",Very true,Not true at all,A little true,A little true,Not true at all,A little true,A little true,Completely true,Very true,A little true,Very true,Not true at all,A little true,Very true,Very true,A little true,Completely true,Not true at all,Very true,Not true at all,Not true at all,Not true at all,A little true,A little true,Not true at all,A little true,None of the time,Most of the time,None of the time,Most of the time,None of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Improved,8,Phosphorus,9,Stormwater runoff,8,Spring (March - May),5,Increased ocean temperature,5,"Television,Non-governmental organization (NGO) websites,Word of mouth (friends, family, coworkers)",55 - 64,Male,,White or European,,Bachelor's degree,Full-time,"$100,000 or more",Slightly liberal,2
9/16/2024 11:33,9/16/2024 11:42,Survey Preview,100,531,TRUE,9/16/2024 11:42,R_01,preview,EN,1,,0,0,,I agree,Yes,33570,,Single-family home,Rent,,10 - 19 years,,High priority,Not a priority,Top priority,High priority,High priority,High priority,Top priority,Moderate priority,High priority,High priority,High priority,High priority,High priority,High priority,High priority,High priority,Very true,Very true,Very true,Completely true,A little true,Completely true,Completely true,A little true,A little true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,A few times,Never,Never,Multiple times per week,Multiple times per week,About once a week,Multiple times per week,Multiple times per week,Never,Never,Never,A few times,A few times,Never,A few times,Never,About once a week,Never,Never,Never,About once a week,A few times,A few times,Much more than I do,Much more than I do,Much more than I do,A little more than I do,About the same as I do,About the same as I do,A little less than I do,Much less than I do,,The shoreline or bank of a water body,Fishing for relaxation,"No, not involved","Yes, a little involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",A little true,Very true,Very true,Moderately true,Very true,Completely true,Not true at all,A little true,Completely true,Completely true,Very true,Not true at all,Very true,A little true,A little true,Very true,Very true,A little true,Very true,Not true at all,A little true,Not true at all,Completely true,Completely true,Not true at all,Very true,A good bit of the time,Most of the time,Some of the time,Some of the time,Some of the time,A little of the time,Several days,Several days,Several days,Several days,Not at all,More than half the days,More than half the days,Declined,9,Phosphorus,5,Wastewater,9,Summer (June - September),8,Increased ocean temperature,7,"Social media,Word of mouth (friends, family, coworkers),Your own observations or experiences",65 or older,Female,,White or European,,High school diploma or GED,Part-time,"$25,000 - $49,999",Strongly conservative,1
9/16/2024 11:46,9/16/2024 11:53,Survey Preview,100,403,TRUE,9/16/2024 11:53,R_02,preview,EN,1,TRUE,100,0,9/16/2024 15:43,I agree,Yes,33619,,Single-family home,Own,,20 years or more,,Moderate priority,Top priority,Top priority,High priority,Moderate priority,Moderate priority,Top priority,Low priority,Moderate priority,Moderate priority,Low priority,Moderate priority,Moderate priority,Moderate priority,High priority,Low priority,A little true,Very true,Very true,Moderately true,Moderately true,Very true,Moderately true,Not true at all,A little true,Moderately true,Moderately true,A little true,Moderately true,A little true,Very true,Never,A few times,A few times,Never,A few times,About once a month,A few times,About once a month,About once a month,A few times,A few times,A few times,About once a month,About once a month,A few times,A few times,A few times,Never,Never,About once a month,About once a month,About once a month,A few times,A little more than I do,About the same as I do,About the same as I do,A little more than I do,About the same as I do,About the same as I do,A little more than I do,A little more than I do,Spring (March - May),A fishing pier or boardwalk,"Fishing for fun or sport,Fishing for relaxation,Fishing for my own food,Watching friends or family fish","No, not involved","Yes, a little involved","No, not involved","No, not involved","Yes, a little involved","No, not involved","No, not involved",Moderately true,Completely true,Very true,Very true,Completely true,Completely true,Moderately true,Moderately true,Completely true,Completely true,Very true,Moderately true,Completely true,Moderately true,Moderately true,Completely true,Moderately true,Moderately true,A little true,Completely true,Completely true,Completely true,Moderately true,Moderately true,Moderately true,Very true,Some of the time,A little of the time,Some of the time,A little of the time,A good bit of the time,Some of the time,Several days,Not at all,Not at all,Several days,Several days,Several days,Several days,Declined,6,Phosphorus,5,Stormwater runoff,6,Spring (March - May),5,"Increased ocean temperature,Nutrient pollution",4,Your own observations or experiences,55 - 64,Female,,White or European,,Associate degree,Retired,"$25,000 - $49,999",Neutral,1.5
9/16/2024 11:54,9/16/2024 12:01,Survey Preview,100,423,TRUE,9/16/2024 12:01,R_03,preview,EN,1,TRUE,100,0,9/16/2024 15:46,I agree,Yes,34208,,Mobile home,Own,,10 - 19 years,,Top priority,High priority,Top priority,Moderate priority,Not a priority,High priority,Top priority,Not a priority,Moderate priority,Not a priority,High priority,High priority,High priority,High priority,High priority,Low priority,A little true,A little true,A little true,Very true,Not true at all,Completely true,Completely true,Not true at all,A little true,Completely true,Completely true,Completely true,Completely true,Moderately true,Moderately true,A few times,About once a month,About once a week,About once a month,Multiple times per week,Multiple times per week,Multiple times per week,About once a week,About once a month,Never,A few times,About once a month,About once a month,Multiple times per week,About once a week,,,,,About once a week,A few times,A few times,About once a month,,,,,About the same as I do,A little more than I do,About the same as I do,A little more than I do,,"The shoreline or bank of a water body,A fishing pier or boardwalk,A boat, kayak, or canoe","Fishing for fun or sport,Fishing for relaxation,Fishing for my own food,Socializing with other anglers","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Completely true,Very true,Completely true,A little true,Very true,Completely true,Not true at all,Moderately true,Moderately true,Completely true,Very true,Completely true,Completely true,Moderately true,Not true at all,Completely true,Very true,Completely true,Moderately true,Not true at all,Completely true,Completely true,Completely true,Completely true,Not true at all,Moderately true,None of the time,A good bit of the time,Some of the time,Some of the time,None of the time,A little of the time,Several days,Several days,Several days,More than half the days,Several days,More than half the days,Not at all,Declined,10,Phosphorus,0,Wastewater,7,Summer (June - September),8,"Increased ocean temperature,Microplastics,Nutrient pollution",7,"Television,Newspapers or magazines,Your own observations or experiences",55 - 64,Male,,"American Indian or Alaska Native,Asian or Asian American",,High school diploma or GED,Retired,"$25,000 - $49,999",Moderately conservative,1.5
9/16/2024 12:02,9/16/2024 12:09,Survey Preview,100,425,TRUE,9/16/2024 12:09,R_04,preview,EN,1,TRUE,100,0,9/16/2024 15:54,I agree,Yes,33570,,Single-family home,Own,,10 - 19 years,,Top priority,Low priority,Moderate priority,Low priority,Moderate priority,High priority,High priority,Low priority,Low priority,Low priority,Low priority,Top priority,Moderate priority,High priority,High priority,Low priority,Moderately true,A little true,Not true at all,Moderately true,Not true at all,Completely true,Moderately true,Not true at all,A little true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,A few times,About once a month,Never,Never,Never,About once a month,Never,Never,A few times,A few times,Never,A few times,Never,A few times,Never,Never,Never,Never,Never,Never,About once a month,Never,Never,Much more than I do,Much more than I do,Much more than I do,About the same as I do,About the same as I do,A little more than I do,A little more than I do,About the same as I do,,"A boat, kayak, or canoe","Fishing for fun or sport,Fishing for relaxation,Fishing for my own food","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Very true,Not true at all,Very true,A little true,A little true,Moderately true,Not true at all,Very true,Very true,Very true,Very true,Not true at all,Very true,A little true,Very true,Moderately true,Very true,A little true,Very true,Not true at all,Very true,Very true,Not true at all,Moderately true,A little true,Moderately true,None of the time,A little of the time,Some of the time,Some of the time,Some of the time,A little of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Declined,10,Nitrogen,10,Stormwater runoff,10,Summer (June - September),9,Nutrient pollution,9,"Television,Radio,Newspapers or magazines,Non-governmental organization (NGO) websites,Your own observations or experiences",45 - 54,Male,,White or European,,High school diploma or GED,Full-time,"$75,000 - $99,999",Neutral,3.5
9/16/2024 12:11,9/16/2024 12:17,Survey Preview,100,367,TRUE,9/16/2024 12:17,R_05,preview,EN,1,TRUE,100,0,9/16/2024 16:02,I agree,Yes,33781,,Single-family home,Own,,20 years or more,,High priority,High priority,High priority,Moderate priority,Low priority,High priority,Top priority,High priority,Not a priority,High priority,High priority,Top priority,High priority,High priority,Top priority,Moderate priority,Not true at all,A little true,Not true at all,Not true at all,Not true at all,Completely true,Moderately true,Moderately true,A little true,Completely true,Very true,Completely true,Completely true,Completely true,Completely true,Multiple times per week,A few times,A few times,About once a week,About once a week,Never,Multiple times per week,A few times,Multiple times per week,Never,Never,Multiple times per week,About once a month,Never,A few times,Never,A few times,Never,Never,Multiple times per week,About once a month,Multiple times per week,Multiple times per week,Much more than I do,Much more than I do,Much more than I do,A little more than I do,Much less than I do,A little less than I do,A little less than I do,About the same as I do,,,,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Moderately true,Not true at all,A little true,Not true at all,A little true,A little true,Very true,A little true,A little true,Moderately true,Very true,Not true at all,Moderately true,A little true,Completely true,Very true,Very true,A little true,Very true,Not true at all,Moderately true,Not true at all,Not true at all,A little true,Not true at all,Completely true,None of the time,All of the time,None of the time,A good bit of the time,None of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Declined,1,Nitrogen,9,Stormwater runoff,9,Summer (June - September),5,Nutrient pollution,7,Government websites,18 - 24,Male,,White or European,,Associate degree,Full-time,"$100,000 or more",Slightly conservative,3.5
9/17/2024 8:58,9/17/2024 9:08,Survey Preview,100,590,TRUE,9/17/2024 9:08,R_06,preview,EN,1,TRUE,100,0,9/16/2024 16:11,I agree,Yes,33511,,Single-family home,Own,,20 years or more,,Moderate priority,High priority,High priority,Moderate priority,Moderate priority,Moderate priority,High priority,High priority,Moderate priority,Moderate priority,High priority,Top priority,Top priority,High priority,High priority,Top priority,Not true at all,Not true at all,Not true at all,A little true,A little true,Completely true,Moderately true,Moderately true,A little true,Completely true,Completely true,Moderately true,Completely true,Completely true,Very true,Never,A few times,A few times,About once a week,Multiple times per week,About once a month,A few times,About once a month,A few times,A few times,Never,A few times,A few times,About once a month,A few times,A few times,About once a week,Never,Never,Never,Multiple times per week,Multiple times per week,Never,A little more than I do,About the same as I do,Much more than I do,A little more than I do,A little more than I do,A little less than I do,A little more than I do,Much more than I do,"Spring (March - May),Fall (October - November)","The shoreline or bank of a water body,A boat, kayak, or canoe","Fishing for fun or sport,Fishing for my own food","Yes, very involved","No, not involved","No, not involved","No, not involved","No, not involved","Yes, a little involved","Yes, very involved",Completely true,Very true,Completely true,Moderately true,A little true,Completely true,A little true,Completely true,Completely true,Completely true,Very true,Very true,Very true,Completely true,A little true,Moderately true,Completely true,Very true,Very true,Not true at all,A little true,Moderately true,A little true,A little true,Moderately true,Moderately true,A good bit of the time,A good bit of the time,Some of the time,A little of the time,A little of the time,A good bit of the time,More than half the days,More than half the days,More than half the days,Nearly every day,More than half the days,Several days,Not at all,Remained about the same,7,Phosphorus,7,Stormwater runoff,7,Summer (June - September),9,"Boat propeller blades,Nutrient pollution",8,"Television,Radio,Social media,Mail or email newsletters,Word of mouth (friends, family, coworkers)",55 - 64,Male,,"Asian or Asian American,White or European",,Bachelor's degree,Full-time,"$100,000 or more",Moderately liberal,3
9/17/2024 9:15,9/17/2024 9:21,Survey Preview,100,357,TRUE,9/17/2024 9:21,R_07,preview,EN,1,TRUE,100,0,9/17/2024 13:10,I agree,Yes,33781,,Single-family home,Own,,10 - 19 years,,Top priority,Moderate priority,Top priority,Moderate priority,High priority,Top priority,Top priority,Moderate priority,Not a priority,Moderate priority,Top priority,Top priority,High priority,High priority,Top priority,Low priority,Moderately true,Moderately true,A little true,Very true,A little true,Completely true,Completely true,Completely true,A little true,Completely true,Completely true,Completely true,Completely true,Moderately true,Very true,Never,A few times,A few times,About once a week,Never,Never,About once a week,About once a week,About once a week,Never,A few times,A few times,A few times,Multiple times per week,Multiple times per week,Never,A few times,About once a month,Never,Never,Multiple times per week,About once a month,About once a month,Much more than I do,A little more than I do,A little more than I do,A little more than I do,About the same as I do,About the same as I do,About the same as I do,About the same as I do,,,,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Very true,A little true,A little true,A little true,Not true at all,A little true,Not true at all,Very true,Not true at all,A little true,Very true,Moderately true,A little true,Very true,A little true,Moderately true,Completely true,Very true,Not true at all,A little true,Moderately true,Not true at all,Moderately true,A little true,Not true at all,Completely true,A good bit of the time,A little of the time,A good bit of the time,Some of the time,None of the time,Some of the time,Several days,Not at all,Not at all,Several days,Not at all,More than half the days,Several days,Declined,5,Phosphorus,0,Stormwater runoff,5,Summer (June - September),10,Nutrient pollution,6,"Social media,Word of mouth (friends, family, coworkers)",45 - 54,Female,,White or European,,Vocational or Trade School degree,Full-time,"$100,000 or more",Slightly conservative,2.5
9/17/2024 9:35,9/17/2024 9:41,Survey Preview,100,322,TRUE,9/17/2024 9:41,R_08,preview,EN,1,TRUE,100,0,9/17/2024 13:25,I agree,Yes,34208,,Single-family home,Own,,1 - 4 years,,Moderate priority,Top priority,High priority,Low priority,Low priority,Low priority,Top priority,High priority,Moderate priority,Low priority,High priority,High priority,Moderate priority,Moderate priority,Top priority,Moderate priority,Not true at all,A little true,A little true,Not true at all,Not true at all,Completely true,Very true,Moderately true,A little true,Very true,Moderately true,A little true,Moderately true,Not true at all,Moderately true,A few times,A few times,A few times,A few times,Multiple times per week,Never,Multiple times per week,Multiple times per week,About once a month,A few times,A few times,A few times,A few times,About once a month,A few times,Never,A few times,Never,Multiple times per week,A few times,Multiple times per week,Multiple times per week,About once a week,Much more than I do,Much more than I do,Much more than I do,About the same as I do,About the same as I do,A little less than I do,Much less than I do,Much less than I do,,,,"Yes, very involved","Yes, very involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",A little true,A little true,A little true,Very true,Not true at all,A little true,Moderately true,Very true,A little true,Not true at all,Very true,Not true at all,Not true at all,Moderately true,Completely true,Not true at all,Moderately true,A little true,Very true,Not true at all,A little true,Not true at all,A little true,A little true,A little true,Very true,None of the time,Most of the time,None of the time,Some of the time,None of the time,All of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Improved,8,Silica,8,Stormwater runoff,6,Summer (June - September),8,"Boat propeller blades,Increased ocean temperature",7,"Newspapers or magazines,Mail or email newsletters",65 or older,Male,,White or European,,Doctoral degree,Retired,"$75,000 - $99,999",Moderately liberal,3.5
9/17/2024 9:42,9/17/2024 9:48,Survey Preview,100,352,TRUE,9/17/2024 9:48,R_09,preview,EN,1,TRUE,100,0,9/17/2024 13:36,I agree,Yes,33605,,Townhome or duplex,Own,,10 - 19 years,,High priority,Moderate priority,Low priority,Moderate priority,Moderate priority,Not a priority,Moderate priority,High priority,Top priority,Low priority,Moderate priority,Moderate priority,High priority,Top priority,Top priority,High priority,Moderately true,Moderately true,A little true,Not true at all,Not true at all,Completely true,Completely true,A little true,A little true,Completely true,Completely true,Completely true,Completely true,Very true,Completely true,A few times,A few times,Never,Never,Never,Never,About once a week,About once a week,Never,Never,A few times,A few times,A few times,A few times,A few times,Never,About once a week,Never,Never,Multiple times per week,Multiple times per week,About once a month,A few times,Much more than I do,A little more than I do,Much more than I do,Much less than I do,Much less than I do,Much less than I do,Much less than I do,Much less than I do,,,,"Yes, a little involved","Yes, a little involved","Yes, very involved","Yes, very involved","No, not involved","No, not involved","No, not involved",A little true,Not true at all,A little true,Moderately true,A little true,A little true,A little true,Moderately true,A little true,Not true at all,Very true,Not true at all,Moderately true,Moderately true,Moderately true,Moderately true,A little true,A little true,Very true,Not true at all,Moderately true,Not true at all,Moderately true,Moderately true,Moderately true,Very true,A little of the time,A good bit of the time,A little of the time,Some of the time,None of the time,Most of the time,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Improved,3,Nitrogen,3,Industrial discharges into the bay,3,Summer (June - September),3,"Increased ocean temperature,Nutrient pollution",3,"Mail or email newsletters,Public meetings",35 - 44,Female,,White or European,,Bachelor's degree,Full-time,"$100,000 or more",Moderately liberal,3.5
9/17/2024 9:50,9/17/2024 9:57,Survey Preview,100,372,TRUE,9/17/2024 9:57,R_10,preview,EN,1,TRUE,100,0,9/17/2024 13:43,I agree,Yes,33615,,Single-family home,Rent,,20 years or more,,Moderate priority,Low priority,Top priority,Moderate priority,Top priority,High priority,Top priority,Moderate priority,Top priority,Top priority,Top priority,Top priority,Top priority,Top priority,Top priority,Top priority,Moderately true,Moderately true,Moderately true,Very true,Moderately true,Very true,Very true,Very true,A little true,Moderately true,A little true,A little true,A little true,A little true,A little true,Never,Never,A few times,Never,A few times,A few times,A few times,A few times,About once a month,A few times,A few times,A few times,A few times,A few times,A few times,Never,A few times,Never,Never,Never,Multiple times per week,A few times,Never,A little more than I do,A little more than I do,A little more than I do,A little more than I do,A little more than I do,A little more than I do,A little more than I do,A little more than I do,,A fishing pier or boardwalk,Watching friends or family fish,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Moderately true,Not true at all,Not true at all,Not true at all,Not true at all,A little true,A little true,A little true,A little true,Not true at all,Very true,Not true at all,A little true,A little true,A little true,A little true,Completely true,Moderately true,Very true,Not true at all,A little true,Not true at all,A little true,A little true,Not true at all,Completely true,All of the time,A little of the time,Some of the time,Some of the time,A little of the time,None of the time,Nearly every day,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,Several days,Remained about the same,10,Phosphorus,4,Stormwater runoff,4,Summer (June - September),2,Boat propeller blades,2,"Television,Radio,Social media,Newspapers or magazines,Mail or email newsletters,Word of mouth (friends, family, coworkers),Your own observations or experiences",55 - 64,Female,,White or European,,High school diploma or GED,Unemployed,"Less than $25,000",Moderately liberal,2.5
